EVTYPE,EVTYPE_ACTUAL
   HIGH SURF ADVISORY,HIGH SURF
 COASTAL FLOOD,COASTAL FLOOD
 FLASH FLOOD,FLASH FLOOD
 LIGHTNING,LIGHTNING
 TSTM WIND,THUNDERSTORM WIND
 TSTM WIND (G45),THUNDERSTORM WIND
 WATERSPOUT,WATERSPOUT
 WIND,HIGH WIND
?,OTHER
ABNORMAL WARMTH,EXCESSIVE HEAT
ABNORMALLY DRY,DROUGHT
ABNORMALLY WET,HEAVY RAIN
ACCUMULATED SNOWFALL,HEAVY SNOW
AGRICULTURAL FREEZE,FROST/FREEZE
APACHE COUNTY,OTHER
ASTRONOMICAL HIGH TIDE,ASTRONOMICAL HIGH/LOW TIDES
ASTRONOMICAL LOW TIDE,ASTRONOMICAL HIGH/LOW TIDES
AVALANCE,AVALANCHE
AVALANCHE,AVALANCHE
BEACH EROSIN,COASTAL FLOOD
Beach Erosion,COASTAL FLOOD
BEACH EROSION,COASTAL FLOOD
BEACH EROSION/COASTAL FLOOD,COASTAL FLOOD
BEACH FLOOD,COASTAL FLOOD
BELOW NORMAL PRECIPITATION,DROUGHT
BITTER WIND CHILL,COLD/WIND CHILL
BITTER WIND CHILL TEMPERATURES,COLD/WIND CHILL
Black Ice,SLEET
BLACK ICE,SLEET
BLIZZARD,BLIZZARD
BLIZZARD AND EXTREME WIND CHIL,BLIZZARD
BLIZZARD AND HEAVY SNOW,BLIZZARD
Blizzard Summary,BLIZZARD
BLIZZARD WEATHER,BLIZZARD
BLIZZARD/FREEZING RAIN,BLIZZARD
BLIZZARD/HEAVY SNOW,BLIZZARD
BLIZZARD/HIGH WIND,BLIZZARD
BLIZZARD/WINTER STORM,BLIZZARD
BLOW-OUT TIDE,STORM TIDE
BLOW-OUT TIDES,STORM TIDE
BLOWING DUST,DUST STORM
blowing snow,HEAVY SNOW
Blowing Snow,HEAVY SNOW
BLOWING SNOW,HEAVY SNOW
BLOWING SNOW- EXTREME WIND CHI,HEAVY SNOW
BLOWING SNOW & EXTREME WIND CH,HEAVY SNOW
BLOWING SNOW/EXTREME WIND CHIL,HEAVY SNOW
BREAKUP FLOODING,FLOOD
BRUSH FIRE,WILDFIRE
BRUSH FIRES,WILDFIRE
COASTAL  FLOODING/EROSION,COASTAL FLOOD
COASTAL EROSION,COASTAL FLOOD
Coastal Flood,COASTAL FLOOD
COASTAL FLOOD,COASTAL FLOOD
coastal flooding,COASTAL FLOOD
Coastal Flooding,COASTAL FLOOD
COASTAL FLOODING,COASTAL FLOOD
COASTAL FLOODING/EROSION,COASTAL FLOOD
Coastal Storm,COASTAL FLOOD
COASTAL STORM,COASTAL FLOOD
COASTAL SURGE,COASTAL FLOOD
COASTAL/TIDAL FLOOD,COASTAL FLOOD
COASTALFLOOD,COASTAL FLOOD
COASTALSTORM,OTHER
Cold,COLD/WIND CHILL
COLD,COLD/WIND CHILL
COLD AIR FUNNEL,COLD/WIND CHILL
COLD AIR FUNNELS,COLD/WIND CHILL
COLD AIR TORNADO,COLD/WIND CHILL
Cold and Frost,EXTREME COLD/WINDCHILL
COLD AND FROST,EXTREME COLD/WINDCHILL
COLD AND SNOW,HEAVY SNOW
COLD AND WET CONDITIONS,EXTREME COLD/WINDCHILL
Cold Temperature,COLD/WIND CHILL
COLD TEMPERATURES,COLD/WIND CHILL
COLD WAVE,COLD/WIND CHILL
COLD WEATHER,EXTREME COLD/WINDCHILL
COLD WIND CHILL TEMPERATURES,COLD/WIND CHILL
COLD/WIND CHILL,COLD/WIND CHILL
COLD/WINDS,COLD/WIND CHILL
COOL AND WET,EXTREME COLD/WINDCHILL
COOL SPELL,EXTREME COLD/WINDCHILL
CSTL FLOODING/EROSION,COASTAL FLOOD
DAM BREAK,FLOOD
DAM FAILURE,FLOOD
Damaging Freeze,FROST/FREEZE
DAMAGING FREEZE,FROST/FREEZE
DEEP HAIL,HAIL
DENSE FOG,DENSE FOG
DENSE SMOKE,DENSE SMOKE
DOWNBURST,OTHER
